Date,Exchange Rate
2018/10/29,112.324
2018/10/30,113.052
2018/10/31,112.851
2018/11/1,112.715
2018/11/4,113.139
2018/11/5,113.246
2018/11/6,113.363
2018/11/7,113.547
2018/11/8,113.953
2018/11/11,113.846
2018/11/12,113.696
2018/11/13,113.789
2018/11/14,113.564
2018/11/15,113.555
2018/11/18,112.73
2018/11/19,112.443
2018/11/20,112.703
2018/11/21,113.021
2018/11/22,112.978
2018/11/25,112.919
2018/11/26,113.504
2018/11/27,113.767
2018/11/28,113.555
2018/11/29,113.411
2018/12/2,113.763
2018/12/3,113.587
2018/12/4,112.699
2018/12/5,113.051
2018/12/6,112.689
2018/12/9,112.502
2018/12/10,113.181
2018/12/11,113.384
2018/12/12,113.285
2018/12/13,113.56
2018/12/16,113.39
2018/12/17,112.829
2018/12/18,112.524
2018/12/19,112.41
2018/12/20,111.171
2018/12/23,111.054
2018/12/24,110.311
2018/12/25,110.402
2018/12/26,111.206
2018/12/27,110.855
2018/12/30,110.33
2018/12/31,109.63
2019/1/1,109.668
2019/1/2,107.441
2019/1/3,107.808
2019/1/6,108.522
2019/1/7,108.616
2019/1/8,108.776
2019/1/9,108.189
2019/1/10,108.298
2019/1/13,108.458
2019/1/14,108.25
2019/1/15,108.644
2019/1/16,109.037
2019/1/17,109.153
2019/1/20,109.661
2019/1/21,109.67
2019/1/22,109.355
2019/1/23,109.492
2019/1/24,109.597
2019/1/27,109.4
2019/1/28,109.254
2019/1/29,109.417
2019/1/30,108.981
2019/1/31,108.844
2019/2/3,109.438
2019/2/4,109.961
2019/2/5,109.941
2019/2/6,109.974
2019/2/7,109.756
2019/2/10,109.81
2019/2/11,110.4
2019/2/12,110.515
2019/2/13,110.923
2019/2/14,110.538
2019/2/17,110.564
2019/2/18,110.591
2019/2/19,110.572
2019/2/20,110.765
2019/2/21,110.708
2019/2/24,110.772
2019/2/25,111.046
2019/2/26,110.556
2019/2/27,110.862
2019/2/28,111.357
2019/3/3,111.938
2019/3/4,111.777
2019/3/5,111.866
2019/3/6,111.623
2019/3/7,111.634
2019/3/10,111.08
2019/3/11,111.342
2019/3/12,111.306
2019/3/13,111.196
2019/3/14,111.753
2019/3/17,111.561
2019/3/18,111.373
2019/3/19,111.401
2019/3/20,110.66
2019/3/21,110.806
2019/3/24,110.081
2019/3/25,110.068
2019/3/26,110.554
2019/3/27,110.49
2019/3/28,110.637
2019/3/31,110.995
2019/4/1,111.451
2019/4/2,111.305
2019/4/3,111.395
2019/4/4,111.658
2019/4/7,111.711
2019/4/8,111.456
2019/4/9,111.105
2019/4/10,110.985
2019/4/11,111.621
2019/4/14,112.028
2019/4/15,111.943
2019/4/16,111.993
2019/4/17,112.036
2019/4/18,111.989
2019/4/21,111.91
2019/4/22,111.929
2019/4/23,111.877
2019/4/24,112.13
2019/4/25,111.539
2019/4/28,111.593
2019/4/29,111.677
2019/4/30,111.395
2019/5/1,111.452
2019/5/2,111.495
2019/5/5,110.623
2019/5/6,110.805
2019/5/7,110.257
2019/5/8,110.028
2019/5/9,109.807
2019/5/12,109.654
2019/5/13,109.154
2019/5/14,109.671
2019/5/15,109.475
2019/5/16,109.871
2019/5/19,110.16
2019/5/20,110.07
2019/5/22,110.221
2019/5/23,109.558
2019/5/26,109.401
2019/5/27,109.509
2019/5/28,109.346
2019/5/29,109.542
2019/5/30,109.357
2019/6/2,108.212
2019/6/3,108.027
2019/6/4,108.254
2019/6/5,108.328
2019/6/6,108.454
2019/6/9,108.449
2019/6/10,108.359
2019/6/11,108.474
2019/6/12,108.488
2019/6/13,108.321
2019/6/16,108.576
2019/6/17,108.539
2019/6/18,108.573
2019/6/19,108.115
2019/6/20,107.277
2019/6/23,107.312
2019/6/24,107.327
2019/6/25,107.166
2019/6/26,107.738
2019/6/27,107.747
2019/6/30,108.382
2019/7/1,108.366
2019/7/2,107.805
2019/7/3,107.779
2019/7/4,107.808
2019/7/7,108.474
2019/7/8,108.721
2019/7/9,108.924
2019/7/10,108.334
2019/7/11,108.588
2019/7/14,107.832
2019/7/15,107.889
2019/7/16,108.201
2019/7/17,107.937
2019/7/18,107.401
2019/7/21,107.81
2019/7/22,107.904
2019/7/23,108.232
2019/7/24,108.189
2019/7/25,108.666
2019/7/28,108.633
2019/7/29,108.866
2019/7/30,108.562
2019/7/31,108.82
2019/8/1,107.431
2019/8/4,106.577
2019/8/5,105.593
2019/8/6,106.337
2019/8/7,106.121
2019/8/8,105.874
2019/8/11,105.382
2019/8/12,105.358
2019/8/13,106.59
2019/8/14,105.916
2019/8/15,106.083
2019/8/18,106.43
2019/8/19,106.574
2019/8/20,106.274
2019/8/21,106.597
2019/8/22,106.468
2019/8/25,104.852
2019/8/26,105.978
2019/8/27,105.738
2019/8/28,106.07
2019/8/29,106.438
2019/9/1,106.128
2019/9/2,106.193
2019/9/3,105.861
2019/9/4,106.325
2019/9/5,107.072
2019/9/8,106.945
2019/9/9,107.337
2019/9/10,107.6
2019/9/11,108.021
2019/9/12,108.176
2019/9/15,107.765
2019/9/16,108.161
2019/9/17,108.087
2019/9/18,108.425
2019/9/19,108.041
2019/9/22,107.652
2019/9/23,107.614
